SYMBOL,COMPANY_NAME,EXCHANGE,YF_TICKER
FSC,FUTURE SUPPLY CHAIN SOLUTIONS LIMITED,NSE,FSC.NS
GANGABATH,GANGA BATH FITTINGS LIMITED,NSE,GANGABATH.NS
GANGAFORGE,GANGA FORGING LIMITED,NSE,GANGAFORGE.NS
GATECHDVR,GACM TECHNOLOGIES LIMITED,NSE,GATECHDVR.NS
GAYAHWS,GAYATRI HIGHWAYS LIMITED,NSE,GAYAHWS.NS
GAYAPROJ,GAYATRI PROJECTS LIMITED,NSE,GAYAPROJ.NS
GCHOTELS,GRAND CONTINENT HOTELS LIMITED,NSE,GCHOTELS.NS
GENSOL,GENSOL ENGINEERING LIMITED,NSE,GENSOL.NS
GFSTEELS,GRAND FOUNDRY LIMITED,NSE,GFSTEELS.NS
GINNIFILA,GINNI FILAMENTS LIMITED,NSE,GINNIFILA.NS
GLFL,GUJARAT LEASE FINANCING LIMITED,NSE,GLFL.NS
GLOBAL,GLOBAL EDUCATION LIMITED,NSE,GLOBAL.NS
GODAVARIB,GODAVARI BIOREFINERIES LIMITED,NSE,GODAVARIB.NS
GODHA,GODHA CABCON & INSULATION LIMITED,NSE,GODHA.NS
GOENKA,GOENKA DIAMOND AND JEWELS LIMITED,NSE,GOENKA.NS
GOLDENTOBC,GOLDEN TOBACCO LIMITED,NSE,GOLDENTOBC.NS
GOLDKART,GOLDKART JEWELS LIMITED,NSE,GOLDKART.NS
GOLDSTAR,GOLDSTAR POWER LIMITED,NSE,GOLDSTAR.NS
GPECO,GP ECO SOLUTIONS INDIA LIMITED,NSE,GPECO.NS
GRAPHISAD,GRAPHISADS LIMITED,NSE,GRAPHISAD.NS
GRETEX,GRETEX INDUSTRIES LIMITED,NSE,GRETEX.NS
GSMFOILS,GSM FOILS LIMITED,NSE,GSMFOILS.NS
GSTL,GLOBESECURE TECHNOLOGIES LIMITED,NSE,GSTL.NS
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,NSE,GTECJAINX.NS
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LIMITED,NSE,GUJAPOLLO.NS
GVT&D,GE VERNOVA T&D INDIA LIMITED,NSE,GVT&D.NS
HAVISHA,SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED,NSE,HAVISHA.NS
HBSL,HB STOCKHOLDINGS LIMITED,NSE,HBSL.NS
HCC,HINDUSTAN CONSTRUCTION COMPANY LIMITED,NSE,HCC.NS
HCL-INSYS,HCL INFOSYSTEMS LIMITED,NSE,HCL-INSYS.NS
HDIL,HOUSING DEVELOPMENT AND INFRASTRUCTURE LIMITED,NSE,HDIL.NS
HECPROJECT,HEC INFRA PROJECTS LIMITED,NSE,HECPROJECT.NS
HGM,HANDSON GLOBAL MANAGEMENT (HGM) LIMITED,NSE,HGM.NS
HILTON,HILTON METAL FORGING LIMITED,NSE,HILTON.NS
HINDMOTORS,HINDUSTAN MOTORS LIMITED,NSE,HINDMOTORS.NS
HIRECT,HIND RECTIFIERS LIMITED,NSE,HIRECT.NS
HITECHGEAR,THE HI-TECH GEARS LIMITED,NSE,HITECHGEAR.NS
HMT,HMT LIMITED,NSE,HMT.NS
HOACFOODS,HOAC FOODS INDIA LIMITED,NSE,HOACFOODS.NS
HOLMARC,HOLMARC OPTO-MECHATRONICS LIMITED,NSE,HOLMARC.NS
HOMESFY,HOMESFY REALTY LIMITED,NSE,HOMESFY.NS
HRHNEXT,HRH NEXT SERVICES LIMITED,NSE,HRHNEXT.NS
HTMEDIA,HT MEDIA LIMITED,NSE,HTMEDIA.NS
HVAX,HVAX TECHNOLOGIES LIMITED,NSE,HVAX.NS
IBLFL,IBL FINANCE LIMITED,NSE,IBLFL.NS
ICDSLTD,ICDS LIMITED,NSE,ICDSLTD.NS
IDEALTECHO,IDEAL TECHNOPLAST INDUSTRIES LIMITED,NSE,IDEALTECHO.NS
IFBAGRO,IFB AGRO INDUSTRIES LIMITED,NSE,IFBAGRO.NS
IL&FSENGG,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,NSE,IL&FSENGG.NS
IL&FSTRANS,IL&FS TRANSPORTATION NETWORKS LIMITED,NSE,IL&FSTRANS.NS
